filename,class,xmin,ymin,xmax,ymax,observation angle,xloc,yloc,zloc
000035.png,Cyclist,665.45,160.0,717.93,217.99,-2.46,2.45,1.35,22.1
000035.png,Pedestrian,423.17,173.67,433.17,224.03,0.21,-5.87,1.63,23.11
000036.png,Car,553.16,178.73,693.67,311.88,-1.58,0.11,1.64,10.13
000036.png,Car,341.05,194.66,390.28,218.73,1.89,-15.54,2.81,46.01
000036.png,Car,286.23,196.48,337.13,220.85,2.03,-18.46,2.88,44.69
000036.png,Car,412.76,190.23,455.28,212.54,1.82,-12.25,2.66,50.4
000036.png,Car,960.19,183.87,1104.42,229.69,2.67,15.49,2.03,26.68
000036.png,Car,1154.43,178.14,1241.0,222.29,2.53,22.52,1.76,26.55
000036.png,Car,1123.12,213.78,1241.0,374.0,-2.06,4.52,1.63,4.08
000037.png,Car,555.85,173.64,628.69,240.05,-1.57,-0.45,1.32,19.43
000037.png,Truck,27.11,0.0,512.28,375.0,-1.25,-3.63,1.51,10.25
000037.png,Car,473.07,183.18,535.73,226.04,-1.46,-3.46,1.24,24.49
000038.png,Car,592.08,176.5,637.55,219.52,-1.59,0.12,1.72,28.28
000038.png,Car,895.35,158.55,1241.0,374.0,-1.27,4.38,1.54,6.69
000038.png,Car,817.68,176.9,1038.04,302.31,-1.13,4.61,1.57,10.4
000038.png,Car,749.97,177.62,940.82,262.93,-1.01,4.63,1.52,14.02
000038.png,Car,489.07,180.53,521.27,201.03,1.73,-7.38,1.92,50.9
000038.png,Car,302.47,188.9,409.18,250.55,1.9,-6.49,1.83,18.66
000038.png,Car,682.53,173.56,796.81,220.86,-0.87,4.47,1.53,24.75
000038.png,Car,659.69,174.94,745.56,209.34,-0.94,4.06,1.5,31.46
000038.png,Van,640.44,167.63,707.44,198.61,-0.92,4.12,1.58,46.13
000038.png,Car,434.34,175.49,472.4,199.91,1.8,-11.26,1.88,52.04
000038.png,Car,456.14,177.0,487.16,197.96,1.79,-11.21,1.98,58.61
000038.png,Car,412.71,177.61,437.08,195.86,1.81,-15.37,1.87,59.96
000039.png,Car,114.51,193.47,466.61,374.0,1.9,-2.7,1.73,7.17
000039.png,Car,653.23,180.26,702.93,220.26,1.46,2.68,1.82,29.48
000039.png,Car,561.27,178.49,585.9,201.02,1.58,-2.47,1.85,48.95
000039.png,Car,639.85,175.24,667.59,200.41,-1.62,2.93,1.82,49.29
000040.png,Car,474.58,179.03,516.72,210.71,1.68,-5.58,1.77,35.37
000040.png,Pedestrian,691.54,168.88,700.87,198.51,1.13,5.15,1.51,42.82
000041.png,Car,439.52,178.17,508.93,205.17,-2.96,-7.84,1.82,41.75
000042.png,Car,576.34,174.48,604.86,202.67,-1.57,-1.21,1.77,44.49
000042.png,Tram,390.32,163.01,450.87,196.74,1.71,-24.16,2.75,94.91
000043.png,Pedestrian,471.56,174.73,502.47,266.4,-1.73,-2.2,1.57,12.56
000043.png,Pedestrian,684.72,161.94,711.08,230.1,1.19,2.4,1.59,20.51
000043.png,Pedestrian,719.54,160.0,745.42,229.67,1.09,3.32,1.56,20.3
000044.png,Car,0.0,203.44,365.5,374.0,2.11,-3.27,1.73,5.22
000044.png,Car,378.01,183.98,507.17,276.44,1.79,-3.11,1.75,13.93
000045.png,Car,75.43,192.52,273.65,277.52,2.12,-8.95,1.92,15.21
000045.png,Tram,694.04,152.62,734.19,188.24,-1.65,11.16,1.55,79.53
000045.png,Car,269.01,176.97,375.72,242.36,1.98,-8.66,1.94,21.96
000045.png,Car,346.6,186.7,419.98,229.04,1.95,-8.46,1.99,27.06
000045.png,Car,387.31,178.52,455.56,221.43,1.87,-8.27,2.02,31.88
000045.png,Car,455.95,181.43,500.99,209.72,1.8,-7.54,2.03,41.53
000045.png,Car,480.03,181.4,517.92,205.67,1.79,-7.16,2.05,46.7
000046.png,Car,578.47,176.02,625.98,221.24,-1.56,-0.32,1.68,26.76
000046.png,Car,597.59,168.75,634.85,207.61,-1.58,0.26,1.61,35.33
000046.png,Car,769.21,151.69,1087.61,374.0,-1.89,2.87,1.61,7.64
000046.png,Car,706.06,174.92,807.35,254.28,-1.77,3.03,1.59,15.65
000046.png,Car,660.18,171.93,703.11,210.02,-1.67,3.13,1.59,32.3
000046.png,Car,646.4,174.21,684.26,204.82,-1.68,2.85,1.62,38.2
000047.png,Car,572.31,171.6,624.11,218.82,-1.57,-0.38,1.13,26.54
000047.png,Car,0.0,190.67,171.41,313.27,-0.92,-8.37,1.59,10.68
000047.png,Car,214.99,165.2,423.55,292.98,-1.22,-4.65,1.49,12.25
000047.png,Car,296.94,182.19,393.12,231.61,-1.24,-8.54,1.37,23.68
000047.png,Car,428.19,180.81,498.01,226.24,-1.38,-5.0,1.3,25.13
000047.png,Van,481.87,153.05,537.09,207.74,-1.45,-4.88,1.02,36.41
000047.png,Car,522.27,176.55,552.71,202.38,-1.49,-4.64,1.07,47.7
000047.png,Car,0.0,185.88,180.39,253.13,-0.96,-12.64,1.46,17.75
000047.png,Car,193.59,181.29,294.71,229.39,-1.12,-12.99,1.45,25.9
000048.png,Pedestrian,659.64,160.9,687.89,236.97,-1.58,1.54,1.26,16.82
000048.png,Pedestrian,680.59,157.38,711.83,236.18,-1.66,2.15,1.26,17.03
000048.png,Pedestrian,453.2,159.81,482.53,241.31,-1.42,-3.22,1.31,16.26
000048.png,Cyclist,600.22,162.56,622.05,206.65,1.73,0.42,1.03,30.42
000049.png,Car,595.5,177.15,657.31,227.34,-1.57,0.45,1.51,21.55
000049.png,Car,305.23,179.59,494.97,263.68,-2.24,-4.1,1.55,13.75
000049.png,Car,410.09,176.18,514.77,228.78,-2.14,-4.55,1.58,21.82
000049.png,Car,435.96,173.6,537.84,218.33,-2.25,-4.31,1.48,24.83
000049.png,Car,473.64,171.53,556.16,203.86,-2.24,-4.36,1.34,32.49
000049.png,Van,515.19,156.84,585.71,193.55,-2.28,-3.84,1.28,45.7
000049.png,Pedestrian,984.43,188.05,1128.77,374.0,-2.06,2.77,1.65,4.71
000049.png,Car,823.97,189.33,1083.14,327.79,-1.98,4.16,1.66,9.53
000049.png,Car,753.34,185.35,885.42,263.59,-1.83,4.1,1.64,14.89
000049.png,Car,719.83,169.31,816.44,238.11,-1.78,4.26,1.66,20.2
000049.png,Pedestrian,693.57,173.32,709.9,209.83,-1.88,3.96,1.64,32.55
000049.png,Car,776.77,170.97,882.28,211.7,-0.38,9.6,1.65,31.83
000049.png,Car,0.0,178.64,252.92,280.6,2.26,-7.94,1.52,12.04
000049.png,Car,194.14,174.89,341.99,241.74,2.19,-8.06,1.5,17.23
000049.png,Car,603.49,171.71,639.3,204.36,-1.56,0.55,1.49,35.67
000049.png,Car,287.85,175.62,379.41,228.84,1.9,-8.24,1.56,21.69
000049.png,Van,881.73,155.07,1040.99,215.24,-0.48,15.45,1.79,32.04
000049.png,Car,0.0,170.48,111.64,240.66,2.23,-14.04,1.5,17.43
000050.png,Car,683.34,170.98,803.44,257.43,-1.75,2.51,1.49,14.75
000050.png,Car,262.97,182.23,469.76,318.0,-1.31,-3.06,1.56,9.79
000050.png,Car,910.25,159.81,1241.0,374.0,-2.37,2.61,1.55,2.39
000050.png,Car,641.55,172.79,681.44,206.29,-1.58,2.22,1.4,31.72
000050.png,Van,683.63,153.82,724.01,183.67,-1.24,8.59,0.95,65.64
000051.png,Cyclist,919.02,155.73,967.93,230.96,-1.91,7.97,1.34,17.38
000051.png,Car,713.9,174.69,744.43,204.49,-1.59,6.5,1.68,39.76
000052.png,Car,710.82,180.57,802.89,243.25,1.34,3.83,1.73,19.62
000052.png,Car,624.74,177.5,695.15,239.15,1.58,1.43,1.77,21.12
000052.png,Car,309.83,179.79,406.67,219.91,-2.9,-11.47,2.08,32.97
000052.png,Car,40.56,187.32,73.97,212.48,-1.61,-41.57,2.87,54.19
000052.png,Van,383.87,166.42,639.19,310.56,-2.17,-1.87,1.89,12.06
000052.png,Car,245.86,199.03,378.43,265.35,-1.96,-7.32,2.02,17.46
000053.png,Van,865.23,0.0,1241.0,374.0,-2.32,3.03,1.7,2.98
000053.png,Car,173.62,180.91,429.48,359.85,1.86,-3.19,1.62,8.15
000053.png,Car,444.83,180.67,519.74,231.01,1.7,-3.63,1.53,20.88
000053.png,Car,499.17,171.42,546.19,212.24,1.64,-3.48,1.49,28.91
000053.png,Car,653.39,176.6,706.53,216.76,1.46,2.76,1.68,29.57
000053.png,Car,526.94,173.21,563.54,203.04,1.64,-3.4,1.52,38.08
000054.png,Pedestrian,768.22,141.35,840.18,316.18,2.83,2.17,1.44,7.8
000055.png,Truck,569.25,125.75,642.77,214.8,-1.56,-0.18,1.71,34.15
000055.png,Car,31.61,193.32,129.71,230.77,2.24,-23.47,2.44,32.12
000055.png,Car,183.23,187.33,245.86,217.54,2.08,-23.27,2.53,42.56
000055.png,Car,227.36,189.17,281.98,211.96,2.04,-23.4,2.48,47.64
000056.png,Car,540.1,181.59,571.5,205.22,1.67,-3.62,2.1,48.54
000057.png,Car,0.0,224.48,199.8,374.0,2.55,-3.0,1.85,1.74
000057.png,Car,514.51,193.66,563.52,231.99,1.67,-2.97,2.35,30.55
000057.png,Car,572.56,176.77,591.32,196.26,1.59,-2.93,2.41,76.01
000058.png,Pedestrian,410.27,163.81,498.68,327.03,-2.94,-1.56,1.45,7.29
000059.png,Car,509.12,180.43,543.44,205.58,-1.48,-4.82,1.82,41.7
000059.png,Car,969.34,195.19,1100.37,246.63,2.4,12.55,2.08,21.41
000059.png,Car,1129.34,194.18,1241.0,249.48,2.08,19.12,2.33,23.51
000059.png,Van,567.14,164.1,590.87,195.65,-1.6,-2.4,1.66,54.6
000060.png,Van,519.66,162.08,545.51,194.8,1.59,-7.09,1.95,66.59
000060.png,Car,550.84,173.54,614.08,236.57,-1.55,-0.78,1.67,21.02
000060.png,Car,305.57,177.91,341.6,196.33,1.95,-23.72,1.89,59.83
000060.png,Cyclist,789.79,178.79,805.04,211.66,-1.83,9.57,1.95,36.96
000061.png,Van,1054.28,105.67,1241.0,249.94,-1.76,11.04,1.35,15.23
000061.png,Car,0.0,212.28,41.28,328.12,1.66,-9.76,2.12,10.93
000061.png,Car,69.7,217.73,112.22,254.15,1.58,-23.89,3.55,33.21
000061.png,Misc,879.45,149.53,932.13,173.41,-1.56,14.07,0.01,34.42
000061.png,Van,884.04,123.51,923.63,169.76,-1.55,16.49,-0.21,40.44
000062.png,Car,409.55,177.73,520.82,250.74,1.86,-3.82,1.9,19.65
000062.png,Car,502.22,185.85,574.38,229.91,1.82,-2.63,1.99,27.12
000062.png,Car,602.85,184.1,638.97,209.35,1.71,0.67,2.11,43.31
000062.png,Cyclist,692.58,175.37,717.5,229.83,-1.64,3.18,1.87,24.54
000063.png,Car,875.15,185.26,975.98,253.98,-1.75,8.0,1.87,18.74
000063.png,Car,287.03,172.92,514.8,285.76,-2.55,-3.3,1.61,11.32
000063.png,Pedestrian,411.42,172.4,454.91,296.52,-1.94,-2.57,1.67,10.12
000064.png,Car,657.65,179.93,709.86,219.92,-1.7,2.65,1.65,26.82
000064.png,Car,731.51,180.39,882.28,275.8,-1.85,3.43,1.65,13.46
000065.png,Pedestrian,602.33,172.98,626.06,220.54,2.67,0.16,1.32,25.06
000065.png,Tram,301.17,131.62,451.59,213.2,-0.06,-10.89,1.4,34.93
000065.png,Tram,444.01,132.15,516.75,207.36,-0.2,-6.21,1.24,36.72
000065.png,Tram,505.05,128.5,738.57,201.9,-0.39,1.29,0.95,39.56
000065.png,Person_sitting,982.81,215.76,1140.08,373.0,-2.7,3.47,1.47,5.52
000065.png,Person_sitting,920.27,205.21,1000.88,352.07,1.64,3.39,1.5,6.83
000065.png,Person_sitting,763.61,198.98,823.39,287.61,-1.81,2.78,1.51,10.6
000065.png,Person_sitting,800.11,197.33,863.04,285.9,-2.62,3.35,1.48,10.59
000065.png,Person_sitting,738.19,201.8,796.13,277.35,1.08,2.65,1.5,11.69
000066.png,Car,671.48,168.74,710.12,206.53,-1.53,3.54,1.42,31.58
000066.png,Car,591.73,172.89,633.98,199.59,1.75,0.19,1.46,40.99
000067.png,Car,671.83,174.3,702.61,195.46,-1.45,5.12,1.44,47.66
000067.png,Truck,0.0,73.11,444.03,270.73,2.2,-10.24,2.07,23.13
000067.png,Car,704.82,171.69,744.06,200.12,-1.45,6.09,1.38,38.29
000067.png,Car,427.15,179.96,600.34,281.01,-1.13,-1.52,1.59,12.32
000067.png,Car,76.38,181.99,384.72,306.19,-0.79,-5.57,1.67,11.21
000067.png,Car,478.81,182.19,515.67,207.52,1.84,-6.77,2.02,43.4
000068.png,Car,0.0,209.2,198.59,374.0,2.26,-5.44,1.85,6.22
000068.png,Cyclist,1210.28,199.77,1241.0,374.0,2.34,4.04,1.69,3.57
000068.png,Car,478.18,187.68,549.54,249.43,1.68,-2.73,2.03,20.96
000068.png,Car,530.03,187.79,573.1,226.09,1.66,-2.53,2.2,31.5
000068.png,Van,547.61,171.12,584.05,212.41,1.63,-2.79,2.41,46.44
000068.png,Car,667.74,182.35,790.82,230.38,-0.16,4.19,1.99,25.95
000068.png,Car,637.45,180.34,714.44,212.34,-0.01,3.59,2.12,39.79
000068.png,Van,572.52,175.02,596.26,199.95,1.61,-2.28,2.36,65.43
000068.png,Van,380.78,167.69,523.29,288.56,1.77,-2.89,1.9,14.05
000069.png,Car,130.0,186.92,355.47,257.87,-2.73,-8.31,1.82,16.53
000069.png,Car,501.21,177.91,556.47,194.32,0.21,-7.02,1.82,62.51
000070.png,Pedestrian,531.11,146.5,631.01,350.0,2.98,-0.29,1.54,6.89
000071.png,Car,596.84,174.1,664.34,239.31,-1.57,0.51,1.67,19.58
000072.png,Car,0.0,178.54,117.72,228.38,2.26,-19.79,1.78,25.33
000072.png,Car,290.87,187.34,464.1,288.52,1.85,-3.87,1.69,12.67
000073.png,Pedestrian,237.23,173.7,312.33,365.33,-2.62,-2.99,1.6,6.32
000073.png,Pedestrian,189.46,158.23,256.19,356.44,0.8,-3.62,1.58,6.54
000073.png,Pedestrian,752.95,164.08,791.19,288.78,0.45,2.28,1.63,10.51
000073.png,Cyclist,444.66,170.48,485.7,241.86,1.78,-3.55,1.6,17.61
000073.png,Cyclist,494.34,168.08,517.01,223.73,1.65,-3.54,1.66,24.31
000073.png,Pedestrian,535.68,174.41,549.63,214.38,-2.02,-2.86,1.68,29.55
000074.png,Pedestrian,688.53,124.64,780.2,363.93,1.21,1.18,1.49,6.19
000074.png,Pedestrian,778.38,149.08,861.05,355.71,1.07,1.84,1.45,6.18
000074.png,Pedestrian,935.8,155.14,1006.47,306.09,0.72,4.04,1.32,7.84
000075.png,Car,0.0,137.74,159.41,374.0,2.59,-3.01,1.7,1.36
000075.png,Car,452.53,186.98,572.26,264.03,1.86,-2.14,1.87,16.67
000075.png,Car,540.75,182.52,621.76,237.57,1.9,-0.86,1.9,22.81
000075.png,Car,611.24,182.17,671.77,222.71,1.83,1.26,1.85,28.33
000075.png,Car,804.21,165.36,846.44,190.26,-1.29,16.06,1.25,53.73
000076.png,Pedestrian,90.64,186.57,329.47,373.0,2.39,-2.63,1.56,4.83
000076.png,Pedestrian,964.98,157.64,1023.92,289.42,-1.35,4.82,1.3,9.12
000076.png,Pedestrian,236.84,169.82,288.56,339.57,0.66,-3.58,1.55,7.41
000076.png,Pedestrian,811.24,152.52,841.74,249.83,-1.9,4.05,1.23,13.53
000076.png,Pedestrian,524.52,165.79,549.51,230.67,2.63,-1.94,1.31,19.66
000076.png,Pedestrian,560.09,165.43,577.09,224.39,1.66,-1.22,1.32,22.65
000076.png,Pedestrian,708.67,157.73,729.27,222.05,1.43,3.36,1.19,21.58
000077.png,Car,574.29,179.23,616.86,208.22,1.74,-0.77,1.86,39.62
000078.png,Van,0.0,142.54,336.56,374.0,2.02,-3.71,1.72,5.77
000078.png,Car,222.78,166.78,454.29,308.44,1.9,-3.82,1.66,10.96
000078.png,Car,658.66,166.95,697.19,201.46,-1.47,3.24,1.32,34.46
000078.png,Car,615.97,168.04,651.65,189.21,1.78,1.72,1.13,51.25
000079.png,Car,669.49,174.52,700.47,196.1,-1.45,4.88,1.45,46.78
000079.png,Truck,22.54,78.5,452.12,265.67,2.18,-10.05,2.07,23.95
000079.png,Car,701.01,171.82,742.42,201.29,-1.44,5.75,1.39,36.99
000079.png,Car,357.22,182.05,567.87,301.78,-1.08,-2.04,1.61,10.74
000079.png,Car,0.0,183.03,326.6,330.77,-0.7,-6.07,1.67,9.82
000079.png,Car,483.32,182.25,518.76,207.09,1.83,-6.67,2.03,44.23
000079.png,Tram,590.5,158.43,650.51,188.63,1.22,1.05,1.9,90.09
000080.png,Car,457.71,176.44,528.64,229.39,1.74,-3.79,1.72,23.79
000080.png,Car,536.11,176.89,565.32,202.72,1.64,-3.68,1.79,44.92
000080.png,Car,559.75,176.02,578.82,192.14,1.63,-3.85,1.79,68.42
000080.png,Car,589.68,172.46,633.43,216.04,-1.57,0.02,1.64,29.39
000081.png,Car,563.24,175.63,581.9,191.81,-1.49,-3.95,1.98,76.47
000081.png,Truck,593.82,162.45,621.39,192.31,-1.58,-0.32,1.93,75.8
000081.png,Tram,0.0,70.22,363.5,303.39,-1.0,-9.62,1.85,15.22
000081.png,Tram,281.85,129.69,447.74,225.59,-1.28,-9.65,1.81,30.47
000082.png,Car,708.08,167.9,728.44,184.46,-1.62,9.55,1.01,63.93
000082.png,Truck,0.0,105.16,200.39,239.16,0.49,-17.95,1.8,20.34
000083.png,Car,0.0,202.73,361.84,373.0,-0.92,-2.57,1.64,3.15
000083.png,Car,587.82,169.53,643.17,220.02,-1.58,0.43,1.16,24.12
000083.png,Car,519.33,170.45,571.86,215.65,-1.47,-2.04,1.18,26.91
000083.png,Van,101.79,160.13,334.71,287.06,2.04,-6.31,1.5,12.43
000083.png,Car,463.38,174.76,511.89,205.66,1.77,-5.56,1.11,35.5
000084.png,Car,459.33,179.71,505.68,227.3,1.55,-4.99,1.96,27.84
000085.png,Van,0.0,57.67,245.43,374.0,-0.79,-5.26,1.68,5.45
000085.png,Cyclist,678.16,164.16,705.93,243.78,-1.54,1.96,1.63,17.42
000085.png,Pedestrian,304.95,177.99,359.91,304.07,0.9,-3.69,1.64,9.37
000085.png,Car,0.0,179.86,156.79,244.69,-2.42,-13.19,1.62,17.05
000086.png,Car,0.0,167.86,85.41,374.0,0.89,-6.22,1.71,4.88
000086.png,Car,0.0,198.47,233.64,362.17,-2.48,-6.28,1.7,7.11
000086.png,Car,357.4,177.28,507.68,223.54,0.26,-5.64,1.55,23.08
000086.png,Car,687.56,171.57,861.8,232.21,-0.17,4.17,1.48,18.97
000086.png,Car,670.92,163.04,823.26,222.96,-0.2,4.13,1.48,22.35
000086.png,Car,418.36,175.37,519.34,208.94,-2.9,-6.49,1.61,33.25
