filename,class,xmin,ymin,xmax,ymax,angle,zloc,weather,depth_y,depth_x,depth_mean,depth_min,depth_median,depth_max,depth_mean_trim,width,height
000014.png,car,626.49963,177.24486,652.09674,194.02434,1.73,59.81,clone,193,631,7.750911,7.1792746,7.5824866,9.674117,7.6310606,25.59710999999993,16.779480000000007
000015.png,car,1.4820094,204.33633,403.36792,371.33084,2.29,4.1,clone,370,125,0.6794609,0.45866096,0.6020156,2.216353,0.6091347,401.88591060000005,166.99451000000002
000015.png,person,1012.37744,147.88371,1100.4807,307.0551,0.71,7.59,clone,305,1053,1.1293495,0.55198437,1.053392,1.5921004,1.1300765,88.10326000000009,159.17138999999997
000015.png,person,666.19464,172.50061,683.3594,220.41449,-1.58,24.14,clone,218,679,4.726435,3.3695834,3.6894674,9.693208,3.9827516,17.16476,47.913880000000006
000015.png,person,543.5572,178.61287,558.71564,216.97372,-1.46,23.3,clone,212,551,4.2579513,3.4788005,4.1366205,6.555296,4.1829987,15.158440000000041,38.36085
000016.png,truck,122.42526,96.02646,471.0542,222.77164,2.11,26.41,clone,217,265,3.0186481,2.0923302,2.7428832,7.616773,2.7968466,348.62894,126.74517999999999
000016.png,car,0.7992352,200.19957,379.09332,371.25357,-0.72,6.05,clone,334,0,0.9430841,0.5469691,0.7353335,7.074182,0.738985,378.2940848,171.05400000000003
000017.png,car,729.6649,173.46208,788.5742,197.62407,-2.23,47.16,clone,188,756,7.00059,6.175719,6.7212915,8.854349,6.82869,58.90930000000003,24.161990000000003
000018.png,car,521.4966,192.42976,549.222,215.9113,-1.59,47.02,clone,199,534,6.2736416,5.8289313,6.025318,8.8048935,6.072199,27.725400000000036,23.481540000000024
000019.png,truck,1.1240743,25.777414,423.9183,371.8459,2.07,5.46,clone,34,220,0.75873834,0.34708926,0.60912406,8.487498,0.62567616,422.79422569999997,346.06848599999995
000019.png,car,748.0116,184.87988,936.30023,308.32635,-1.81,9.72,clone,234,922,1.298436,0.98359805,1.1199839,3.8902314,1.1363827,188.28863,123.44646999999998
000019.png,car,627.6192,170.3766,684.79596,215.04683,-1.64,35.34,clone,214,683,5.261678,4.0727735,4.4470797,9.509015,4.752795,57.17676000000006,44.670230000000004
000019.png,car,546.3456,182.40796,576.4696,203.62025,-1.48,59.59,clone,201,554,8.306965,7.7101135,8.076763,9.735171,8.188347,30.124000000000024,21.212289999999996
000020.png,car,680.56433,180.88687,800.57166,260.18295,-1.77,15.58,clone,208,795,2.2001932,1.6947494,1.8380272,6.0566893,1.8512777,120.00732999999991,79.29608000000002
000021.png,car,363.50256,179.42657,513.7782,268.65427,1.9,13.3,clone,253,405,1.7617332,1.520631,1.7122145,2.594196,1.7130259,150.27563999999995,89.2277
000021.png,car,467.5105,164.49544,556.2716,240.92184,1.82,17.6,clone,236,467,2.5759947,2.038471,2.2142498,6.1727915,2.1740875,88.76110000000006,76.4264
000021.png,car,723.83673,170.71045,787.55347,213.1066,-1.72,25.97,clone,191,784,3.442898,3.0597866,3.3270352,5.2695208,3.342051,63.71673999999996,42.39614999999998
000021.png,car,545.7092,171.38435,590.0602,214.62111,1.74,26.83,clone,203,545,3.5128453,3.2667642,3.4217951,4.944951,3.4435756,44.351,43.236759999999975
000021.png,car,704.23175,161.08571,759.1504,205.76886,-1.69,32.13,clone,199,758,5.4617505,3.7770958,3.903016,9.590784,3.963995,54.91864999999996,44.68314999999998
000021.png,car,560.29987,167.58615,600.9946,201.53812,1.69,31.78,clone,200,576,4.3109303,3.6323473,3.661228,6.8624516,3.6983392,40.694729999999936,33.95196999999999
000022.png,car,130.36061,196.42032,218.07506,234.42279,-1.11,31.72,clone,232,138,3.9144268,2.4793446,3.5522223,8.281125,3.6334083,87.71445,38.00246999999999
000022.png,car,91.30881,188.78351,148.0574,220.68489,-1.04,31.61,clone,219,118,5.1393003,3.3482163,4.171731,8.59186,4.763831,56.74859000000001,31.90137999999999
000023.png,car,377.254,182.41711,410.02402,202.29831,1.86,55.08,clone,201,391,7.8839135,7.3844495,7.735586,9.088569,7.792718,32.77001999999999,19.88119999999998
000024.png,car,514.97394,165.56886,561.4559,199.145,-1.73,36.37,clone,189,536,5.0129013,4.4884176,4.7012577,9.223471,4.71494,46.48196000000007,33.57614000000001
000024.png,car,440.8924,166.60794,478.05698,197.7388,-1.67,38.09,clone,183,452,5.0713286,4.5638976,4.8096743,9.421894,4.842499,37.16458,31.130859999999984
000024.png,car,434.7361,165.1825,457.32257,182.25606,-1.65,52.01,clone,181,452,6.7052903,5.973565,5.9091,7.0779243,5.876575,22.586469999999963,17.073559999999986
000025.png,car,903.66565,234.46765,1241.4293,371.17938,-2.1,3.14,clone,281,1239,0.6634572,0.30872962,0.46055275,1.819112,0.51260394,337.76365,136.71173
000025.png,car,353.27298,185.49463,532.6962,306.52078,-1.29,10.42,clone,242,435,1.3818716,1.122321,1.2143734,4.6992364,1.2247442,179.42321999999996,121.02615
000025.png,car,563.8539,172.46048,618.1617,216.3053,1.75,30.18,clone,204,604,4.2666845,3.5294924,3.804535,7.944727,3.8486633,54.30780000000004,43.84482
000025.png,car,730.2709,182.29544,802.8209,250.15305,-1.69,17.48,clone,210,795,2.347527,2.0754776,2.1709843,5.754188,2.1785028,72.55000000000007,67.85761
000026.png,truck,632.1366,153.94843,696.9333,209.39552,1.8,37.22,clone,208,695,4.7603564,3.9014304,4.500183,7.378091,4.522439,64.79669999999999,55.44709
000026.png,car,554.4439,177.11569,577.9944,191.55789,-1.67,68.34,clone,190,576,9.103429,8.544554,9.094479,9.631638,9.09971,23.550500000000056,14.442199999999985
000027.png,car,589.04034,181.65076,601.90216,193.64644,-1.58,73.46,clone,192,590,9.557924,9.232914,9.588812,9.712588,9.58075,12.861819999999966,11.995680000000021
000028.png,person,150.56775,157.64743,198.30457,306.13324,-2.45,8.51,clone,204,176,1.0010912,0.86193174,0.9616325,1.3991354,0.9643946,47.73682000000002,148.48581
000029.png,car,651.76746,170.18774,686.1859,202.90144,-1.71,41.53,clone,185,660,6.433923,5.1106024,5.7121215,9.323732,6.119145,34.41843999999992,32.71370000000002
000030.png,car,559.2038,179.95497,587.75586,204.62392,1.58,41.9,clone,195,560,5.076852,4.863372,5.0325727,5.8751903,5.040618,28.552059999999983,24.668949999999995
000031.png,car,330.39676,181.52797,491.091,289.56378,-1.35,12.2,clone,235,387,1.6636252,1.3188177,1.4473934,4.9232993,1.4696138,160.69424000000004,108.03581
000031.png,car,787.2207,178.33852,1018.97107,335.61658,-1.93,8.46,clone,197,991,1.1585366,0.8861542,1.010211,3.10329,1.0234225,231.7503700000001,157.27806
000031.png,car,702.4156,181.78992,827.2419,275.8675,-1.8,13.14,clone,238,826,2.0445416,1.5266315,1.6482813,5.667773,1.6607331,124.82629999999995,94.07758000000001
000031.png,truck,439.9581,138.10008,544.50885,237.28691,1.71,22.27,clone,225,439,2.9870937,2.3871005,2.5719006,8.920313,2.5636363,104.55075000000005,99.18683000000001
000031.png,car,656.7685,181.0483,711.5988,219.28328,-1.64,26.41,clone,218,710,4.042871,3.195267,3.3745797,8.971581,3.4633555,54.830299999999966,38.23497999999998
000031.png,car,615.285,174.0921,652.7392,200.83755,-1.62,51.9,clone,180,639,7.262242,6.527052,6.953418,9.317056,7.0745044,37.454200000000014,26.745450000000005
000032.png,car,191.36885,191.45805,429.42432,338.05844,1.96,9.0,clone,312,287,1.2062554,0.91008127,1.0887394,2.5614083,1.1028175,238.05547,146.60039000000003
000032.png,car,777.7971,189.97577,1008.99286,335.4954,-1.91,8.6,clone,224,987,1.1056383,0.8729741,1.0006442,2.7884817,1.0114657,231.19575999999995,145.51963
000032.png,car,718.6979,181.89642,833.8301,271.5879,-1.79,13.47,clone,270,832,1.7258643,1.4441984,1.512459,4.2730975,1.5028867,115.13220000000001,89.69147999999998
000032.png,car,724.94006,163.78624,793.2312,191.56093,-1.35,25.25,clone,190,766,5.0070004,2.307892,2.5835423,8.348073,2.821638,68.29113999999993,27.77469000000002
000032.png,car,493.83267,173.01067,531.49255,198.96742,-1.45,44.75,clone,192,513,6.039061,5.4573,5.8839903,6.980826,5.9692993,37.659880000000044,25.95675
000033.png,car,0.39807227,195.67618,222.19559,316.8401,2.17,10.15,clone,287,2,1.3626388,1.0496001,1.258092,5.447789,1.2585256,221.79751773,121.16392000000002
000034.png,car,40.376038,197.7917,322.69363,283.0384,0.5,14.12,clone,282,321,1.8468347,1.4884216,1.6718442,3.8910239,1.6881303,282.317592,85.24670000000003
000034.png,car,479.5125,178.93657,535.45435,200.38904,-2.99,49.04,clone,199,480,5.9547596,4.0300684,5.711071,7.962464,5.8218393,55.94184999999999,21.452470000000005
000035.png,car,584.3381,171.68782,613.67096,194.58557,-1.58,46.7,clone,181,593,6.4650636,6.0477567,6.259178,8.910601,6.3086443,29.332859999999982,22.897750000000002
000035.png,car,423.39865,172.55115,531.6049,254.8805,-1.4,16.31,clone,207,473,2.390703,1.8426107,1.9462852,8.921409,1.9558933,108.20625000000007,82.32935
000035.png,car,236.59764,184.04887,319.14694,227.69708,1.95,27.71,clone,226,256,4.00425,1.8760818,3.7124214,8.285827,3.7347646,82.54929999999996,43.648210000000006
000035.png,person,415.98706,180.47978,427.48798,206.70818,0.21,23.11,clone,205,426,3.681296,2.3825538,3.4997299,4.3090224,3.4804132,11.500920000000008,26.228399999999993
000036.png,car,549.9372,183.081,692.13306,312.75735,-1.58,10.13,clone,220,681,1.6557776,1.0169386,1.1323532,9.725094,1.1429286,142.19586000000004,129.67634999999999
000036.png,car,339.68033,193.57521,394.96472,218.18805,1.89,46.01,clone,217,393,6.463882,5.7673144,6.2620864,8.244965,6.2984166,55.28438999999997,24.612840000000006
000036.png,car,285.13507,196.79488,336.94702,221.6971,2.03,44.69,clone,213,291,6.6237054,5.8506255,6.3965526,8.284471,6.450773,51.811950000000024,24.90222
000036.png,car,393.5995,187.62535,451.27286,212.04922,1.82,50.4,clone,201,441,7.3580537,6.695628,7.217601,8.933976,7.2543826,57.67336,24.423869999999994
000036.png,car,957.3937,184.98912,1105.2513,224.22362,2.67,26.68,clone,190,968,3.7700822,1.7641996,3.3792677,7.929079,3.4225378,147.85759999999993,39.2345
000036.png,car,1147.2502,181.51527,1241.7665,223.81412,2.53,26.55,clone,221,1239,3.9569676,3.1733308,3.5469604,7.415635,3.5815165,94.5163,42.298850000000016
000036.png,car,1130.9457,232.18303,1241.6086,372.54718,-2.06,4.08,clone,371,1240,1.0442145,0.48276722,0.67895687,3.0722647,0.79576916,110.66290000000004,140.36415000000002
000037.png,car,555.4032,173.1579,631.79956,241.30017,-1.57,19.43,clone,210,627,3.0098183,2.1355727,2.395126,8.794894,2.4092426,76.39636000000007,68.14227
000037.png,car,504.4818,176.55342,539.0592,223.67422,-1.46,24.49,clone,222,504,3.497838,2.4178865,3.3591218,5.8721976,3.4166481,34.57740000000001,47.1208
000038.png,car,587.60724,172.05588,636.2374,216.0911,-1.59,28.28,clone,183,628,4.3881598,3.5094826,3.7465768,9.703202,3.7665641,48.63015999999993,44.03522000000001
000038.png,car,900.5691,160.5215,1238.6339,368.37683,-1.27,6.69,clone,282,1078,0.9686487,0.69985664,0.79242206,4.328891,0.7950549,338.0648,207.85532999999998
000038.png,car,820.3239,178.51881,936.83984,285.12384,-1.13,10.4,clone,245,935,1.3745137,1.1520609,1.286515,3.6614122,1.2851907,116.51594,106.60502999999997
000038.png,car,758.758,175.0516,893.6351,259.4717,-1.01,14.02,clone,225,892,2.0803132,1.6224657,1.6948922,6.8287406,1.5932373,134.87709999999993,84.42009999999999
000038.png,car,489.84128,180.65794,517.26434,200.62656,1.73,50.9,clone,183,514,6.3088884,3.3515232,6.737336,8.612586,6.677955,27.423059999999964,19.968620000000016
000038.png,car,300.71136,189.50984,406.9231,248.9155,1.9,18.66,clone,221,303,2.620402,1.9770881,2.2326198,8.06057,2.2454112,106.21173999999996,59.40566000000001
000038.png,car,682.26324,173.38625,775.4062,222.05684,-0.87,24.75,clone,220,774,3.5850675,2.2255943,3.3786745,7.984252,3.3865767,93.14296000000002,48.670590000000004
000038.png,car,658.2245,173.97325,699.3143,206.05394,-0.92,46.13,clone,205,698,4.867125,3.8787901,4.279793,7.648358,4.298424,41.08979999999997,32.080690000000004
000038.png,car,431.6316,178.9961,465.7894,201.3038,1.8,52.04,clone,193,437,6.5665226,6.121711,6.400064,7.7563915,6.450883,34.15780000000001,22.307699999999983
000038.png,car,408.8806,179.14725,433.69757,196.80945,1.81,59.96,clone,195,432,7.8350883,6.4727716,7.729109,9.086392,7.7484436,24.81696999999997,17.662199999999984
000039.png,car,100.51861,197.14925,467.94946,371.80737,1.9,7.17,clone,370,249,0.9383201,0.6157648,0.8647879,3.6488109,0.86329764,367.43084999999996,174.65812
000039.png,car,678.9627,185.71352,779.4373,250.854,-1.72,16.67,clone,224,759,2.301959,1.9681451,2.076809,6.2567196,2.0954726,100.47460000000001,65.14048000000003
000039.png,car,527.1325,177.29538,576.87036,210.11923,1.64,33.82,clone,184,540,5.054324,4.2653384,4.5347805,8.377689,4.670288,49.737859999999955,32.82384999999999
000039.png,car,647.8133,179.25769,695.5857,216.0155,1.46,29.48,clone,215,694,4.429705,3.5807812,3.9144354,7.312799,3.9531643,47.77239999999995,36.757810000000006
000039.png,car,565.28204,176.62149,587.307,199.4609,1.58,48.95,clone,198,570,6.9472065,6.120177,6.4578247,8.892249,6.1849236,22.024959999999965,22.839410000000015
000039.png,car,638.02155,175.54762,662.2191,199.2288,-1.62,49.29,clone,195,661,7.4353485,6.308177,6.568325,9.181978,6.1946335,24.19754999999998,23.681180000000012
000040.png,car,474.95154,181.3372,518.3029,211.63977,1.68,35.37,clone,202,486,4.64149,4.298517,4.5058784,7.230724,4.537884,43.35136,30.302570000000003
000040.png,person,689.754,165.71939,702.2756,199.15753,1.13,42.82,clone,177,695,5.6172028,4.6922216,5.18242,9.245127,5.2589765,12.521600000000035,33.438140000000004
000041.png,car,450.95102,174.24109,523.1558,198.80867,-2.96,41.75,clone,174,451,5.7500234,4.5030594,5.390856,8.021117,5.5800962,72.20477999999997,24.567579999999992
000042.png,car,573.52423,175.90765,603.29407,201.47531,-1.57,44.49,clone,189,596,6.060883,5.708007,5.883869,9.0051775,5.9075747,29.769840000000045,25.567660000000018
000043.png,person,470.3872,176.69177,500.31662,268.07648,-1.73,12.56,clone,267,470,1.8912225,1.5857898,1.690953,8.617023,1.6998008,29.929419999999993,91.38471000000001
000043.png,person,439.2114,171.20088,473.147,266.61188,-1.59,12.34,clone,209,446,1.7347729,1.5705894,1.6769135,2.6754277,1.6788865,33.935599999999965,95.41099999999997
000043.png,person,685.12335,165.6573,705.525,227.18846,1.19,20.51,clone,190,703,2.9019964,2.4976883,2.8503327,4.295344,2.858195,20.401650000000018,61.53116
000043.png,person,712.5619,162.57968,738.8785,228.42609,1.09,20.3,clone,223,718,2.8900294,1.8572224,2.6945343,5.6819186,2.7315667,26.316599999999994,65.84640999999999
000044.png,car,0.913499,209.00407,346.07358,371.30835,2.11,5.22,clone,370,25,0.7881316,0.46927792,0.6631471,3.9298801,0.6694601,345.160081,162.30428
000044.png,car,382.3759,185.12337,502.9867,271.0617,1.79,13.93,clone,259,428,2.1517797,1.5642892,1.7271106,7.35697,1.7465401,120.61079999999998,85.93832999999998
000045.png,car,72.54315,191.49126,267.26297,274.1717,2.12,15.21,clone,244,97,2.14543,1.6664294,1.99903,4.1657567,2.0075524,194.71982,82.68043999999998
000045.png,train,695.2723,150.1764,735.2608,186.23224,-1.65,79.53,clone,150,730,9.019817,8.043081,8.999884,9.8452635,8.988955,39.988500000000045,36.05583999999999
000045.png,car,363.05356,186.7717,418.25684,225.38803,1.98,21.96,clone,216,363,3.5172143,3.048195,3.4981127,4.945249,3.494842,55.20328000000001,38.61632999999998
000045.png,car,398.1446,178.18271,460.03918,217.66841,1.87,31.88,clone,199,398,4.6988335,3.6759355,4.0559254,7.774562,4.141287,61.89457999999996,39.48570000000001
000045.png,car,456.096,179.6297,496.6407,204.02824,1.8,41.53,clone,202,456,5.972496,5.223145,5.6682987,8.526196,5.7385535,40.54469999999998,24.398539999999997
000045.png,car,491.619,179.17918,516.15515,202.16696,1.79,46.7,clone,196,491,6.530154,5.632876,6.225956,8.990297,6.240792,24.53615000000002,22.987779999999987
000046.png,car,579.4523,174.8612,630.964,215.47026,-1.56,26.76,clone,180,593,3.7521374,3.164078,3.2885504,9.112645,3.3151743,51.51170000000002,40.60906
000046.png,car,770.3577,158.66434,1074.139,355.60858,-1.89,7.64,clone,251,968,0.9872596,0.7622598,0.84873044,4.242981,0.8666653,303.7812999999999,196.94424
000046.png,car,708.19037,175.02776,801.1277,248.70517,-1.77,15.65,clone,238,800,2.3380308,1.780186,1.9475834,5.809934,1.9615307,92.93732999999997,73.67741000000001
000046.png,car,654.64655,172.76959,699.76764,206.29457,-1.68,38.2,clone,183,696,4.56726,4.116425,4.379324,7.597625,4.415282,45.12108999999998,33.52498
000047.png,car,572.47736,176.4898,626.8555,218.35117,-1.57,26.54,clone,206,583,4.0151515,3.5664332,3.7493618,9.734281,3.7556515,54.37814000000003,41.861369999999994
000047.png,car,-0.093256876,189.7712,166.52692,305.8651,-0.92,10.68,clone,261,0,1.5840688,1.1255879,1.3599098,6.441608,1.3680468,166.620176876,116.09389999999999
000047.png,car,216.63603,166.99445,396.69333,289.5138,-1.22,12.25,clone,167,329,1.6960034,1.2113326,1.4151095,9.38099,1.4194444,180.0573,122.51935
000047.png,car,356.63745,171.43979,424.24203,260.6564,-1.24,23.68,clone,213,356,3.4980493,1.7227972,1.7641032,9.413557,1.7752898,67.60458,89.21661000000003
000047.png,car,429.51163,182.40138,494.6119,224.98491,-1.38,25.13,clone,214,444,3.3519623,3.111523,3.253862,4.5585093,3.266148,65.10026999999997,42.583530000000025
000047.png,car,530.5567,174.03789,549.38525,198.83577,-1.49,47.7,clone,181,530,6.2148447,4.8918867,6.40821,7.630457,6.2985063,18.828550000000064,24.797879999999992
000047.png,car,189.746,180.20018,240.89697,226.5347,-1.12,25.9,clone,217,238,3.327601,2.8290927,3.0856133,5.1951766,2.9996903,51.15097,46.33452
000048.png,person,655.03204,162.63124,679.08514,235.95204,-1.58,16.82,clone,213,664,3.3716528,2.2516687,2.4395652,8.069242,2.638095,24.053099999999972,73.32080000000002
000048.png,person,678.4718,162.88953,707.88086,236.84888,-1.66,17.03,clone,197,703,2.8933136,2.096687,2.341468,7.358968,2.4080195,29.409059999999954,73.95935
000048.png,person,446.96304,168.79198,476.66122,238.15482,-1.42,16.26,clone,222,463,2.8332958,2.2130368,2.4881344,6.352681,2.5124066,29.698180000000036,69.36284
000049.png,car,587.43024,173.79706,657.73584,228.40442,-1.57,21.55,clone,184,646,3.6177998,2.5237324,2.7961469,9.315457,2.8514137,70.30560000000003,54.60736
000049.png,car,300.78918,175.96304,486.08118,262.4072,-2.24,13.75,clone,195,420,1.8975475,1.5865266,1.7424572,6.250352,1.7527608,185.29200000000003,86.44415999999998
000049.png,car,473.32462,171.97943,534.0771,213.20496,-2.14,21.82,clone,210,473,3.339711,2.3248289,3.0946584,8.180463,3.1241632,60.75247999999999,41.22552999999999
000049.png,person,981.2636,196.12862,1107.1388,372.63287,-2.06,4.71,clone,233,1085,0.8445625,0.546549,0.66905016,2.5655167,0.6817018,125.87519999999995,176.50425
000049.png,car,750.1239,182.3707,874.1334,261.16962,-1.83,14.89,clone,233,873,1.8575746,1.2353002,1.7840877,4.8601832,1.7967162,124.0095,78.79892000000001
000049.png,car,718.9441,170.63734,807.9423,233.29228,-1.78,20.2,clone,212,805,3.2198272,2.3002563,2.3766656,9.625735,2.317369,88.9982,62.65494000000001
000049.png,person,690.36926,173.19586,705.6523,206.21892,-1.88,32.55,clone,173,701,4.531706,3.9451382,4.288593,9.528651,4.302394,15.283039999999914,33.02305999999999
000049.png,car,7.4993935,180.07927,231.91858,280.2679,2.26,12.04,clone,259,7,1.2516809,0.45548004,1.2355931,4.173093,1.2016226,224.4191865,100.18862999999999
000049.png,car,223.53632,175.51794,333.6686,244.32448,2.19,17.23,clone,199,223,2.3332798,1.7502191,2.2007852,4.635325,2.1993277,110.13228000000004,68.80653999999998
000050.png,car,680.5265,174.20996,801.9682,255.57779,-1.75,14.75,clone,199,791,2.0755823,1.6309153,1.784312,7.5560217,1.7985821,121.44169999999997,81.36783
000050.png,car,262.65292,184.14255,473.83612,306.70782,-1.31,9.79,clone,224,285,1.2589471,0.979086,1.1271381,3.4310849,1.1330141,211.1832,122.56527000000003
000050.png,car,928.4073,218.18613,1241.649,370.26282,-2.37,2.39,clone,367,1229,0.6425485,0.3244131,0.47120637,1.5016762,0.5110549,313.2416999999999,152.07668999999999
000050.png,car,638.23114,167.94492,681.4171,203.6289,-1.58,31.72,clone,192,680,4.778045,3.7838728,4.151696,9.280769,4.265222,43.18596000000002,35.68397999999999
000051.png,car,708.6033,174.55576,748.9023,205.65355,-1.59,39.76,clone,204,747,4.6941133,3.8959525,4.616973,8.6093645,4.62044,40.29899999999998,31.097790000000003
000052.png,car,708.05963,184.20616,803.48486,231.77867,1.34,19.62,clone,213,767,2.2893958,2.1326747,2.2297332,3.034497,2.2430243,95.42523000000006,47.572509999999994
000052.png,car,631.6159,180.0361,696.93225,221.02133,1.58,21.12,clone,220,631,2.7121675,2.4809923,2.649017,3.382615,2.667293,65.31634999999994,40.98523
000052.png,car,320.60922,180.16231,410.00757,213.12097,-2.9,32.97,clone,209,350,3.7026784,2.7365794,3.2146745,6.2501287,3.2532792,89.39835,32.95866000000001
000052.png,car,48.368477,190.1545,88.16034,211.13629,-1.61,54.19,clone,202,75,6.5354156,6.013073,6.360435,8.599359,6.3749423,39.791863000000006,20.98178999999999
000052.png,car,386.3059,174.30507,636.63477,298.53815,-2.17,12.06,clone,235,550,1.5467759,1.189556,1.3268102,5.1994395,1.3310001,250.32887,124.23307999999997
000052.png,car,247.23921,198.97829,378.48895,260.99884,-1.96,17.46,clone,224,371,2.281721,1.7194663,1.98678,5.6804166,2.0045831,131.24973999999997,62.020549999999986
