filename,class,xmin,ymin,xmax,ymax,angle,zloc,weather,depth_y,depth_mean,depth_x,depth_min
000014.png,car,626.49963,177.24486,652.09674,194.02434,1.73,59.81,clone,193,7.750826,631,7.1792903
000015.png,car,1.4820094,204.33633,403.36792,371.33084,2.29,4.1,clone,370,0.67943656,125,0.45868996
000015.png,person,1012.37744,147.88371,1100.4807,307.0551,0.71,7.59,clone,305,1.129298,1053,0.5519777
000015.png,person,666.19464,172.50061,683.3594,220.41449,-1.58,24.14,clone,218,4.726473,679,3.3696492
000015.png,person,694.6714,173.42462,707.61426,197.42549,-1.59,24.22,clone,196,6.4113092,694,3.8164139
000015.png,person,543.5572,178.61287,558.71564,216.97372,-1.46,23.3,clone,212,4.25814,551,3.4787138
000016.png,truck,122.42526,96.02646,471.0542,222.77164,2.11,26.41,clone,217,2.874763,265,0.6472476
000016.png,car,0.7992352,200.19957,379.09332,371.25357,-0.72,6.05,clone,334,0.9430715,0,0.5469799
000017.png,car,729.6649,173.46208,788.5742,197.62407,-2.23,47.16,clone,188,7.000433,756,6.175647
000018.png,car,521.4966,192.42976,549.222,215.9113,-1.59,47.02,clone,199,6.2734594,534,5.828679
000019.png,truck,1.1240743,25.777414,423.9183,371.8459,2.07,5.46,clone,34,0.75870955,220,0.34701967
000019.png,car,748.0116,184.87988,936.30023,308.32635,-1.81,9.72,clone,234,1.2983992,922,0.9835895
000019.png,car,627.6192,170.3766,684.79596,215.04683,-1.64,35.34,clone,214,5.2616615,683,4.072827
000019.png,car,546.3456,182.40796,576.4696,203.62025,-1.48,59.59,clone,201,8.306783,554,7.709842
000020.png,car,680.56433,180.88687,800.57166,260.18295,-1.77,15.58,clone,208,2.2000868,795,1.6947439
000021.png,car,363.50256,179.42657,513.7782,268.65427,1.9,13.3,clone,253,1.7617034,405,1.5206277
000021.png,car,467.5105,164.49544,556.2716,240.92184,1.82,17.6,clone,236,2.2773762,467,1.5977706
000021.png,car,723.83673,170.71045,787.55347,213.1066,-1.72,25.97,clone,191,3.442898,784,3.0598302
000021.png,car,545.7092,171.38435,590.0602,214.62111,1.74,26.83,clone,203,3.3821225,545,2.4349525
000021.png,car,704.23175,161.08571,759.1504,205.76886,-1.69,32.13,clone,199,4.4219685,758,3.1497698
000021.png,car,560.29987,167.58615,600.9946,201.53812,1.69,31.78,clone,200,3.812925,576,3.3051338
000022.png,car,130.36061,196.42032,218.07506,234.42279,-1.11,31.72,clone,232,3.972699,138,2.4792242
000022.png,car,91.30881,188.78351,148.0574,220.68489,-1.04,31.61,clone,219,5.1403637,118,3.3483536
000023.png,car,377.254,182.41711,410.02402,202.29831,1.86,55.08,clone,201,7.884056,391,7.3846655
000024.png,car,514.97394,165.56886,561.4559,199.145,-1.73,36.37,clone,189,5.0130053,536,4.4885907
000024.png,car,440.8924,166.60794,478.05698,197.7388,-1.67,38.09,clone,183,5.071171,452,4.5638943
000024.png,car,434.7361,165.1825,457.32257,182.25606,-1.65,52.01,clone,181,5.835241,452,4.595255
000025.png,car,903.66565,234.46765,1241.4293,371.17938,-2.1,3.14,clone,281,0.66342795,1239,0.30868846
000025.png,car,353.27298,185.49463,532.6962,306.52078,-1.29,10.42,clone,242,1.3818314,436,1.1223751
000025.png,car,563.8539,172.46048,618.1617,216.3053,1.75,30.18,clone,204,4.2666035,604,3.5294266
000025.png,car,730.2709,182.29544,802.8209,250.15305,-1.69,17.48,clone,210,2.3474743,795,2.075406
000026.png,truck,632.1366,153.94843,696.9333,209.39552,1.8,37.22,clone,208,4.7601724,695,3.901365
000026.png,car,554.4439,177.11569,577.9944,191.55789,-1.67,68.34,clone,190,9.103423,576,8.544581
000027.png,car,589.04034,181.65076,601.90216,193.64644,-1.58,73.46,clone,192,9.557698,590,9.232787
000028.png,person,150.56775,157.64743,198.30457,306.13324,-2.45,8.51,clone,204,1.0010473,176,0.8619549
000029.png,car,651.76746,170.18774,686.1859,202.90144,-1.71,41.53,clone,185,6.4336953,660,5.1098685
000030.png,car,559.2038,179.95497,587.75586,204.62392,1.58,41.9,clone,195,5.0765543,560,4.8629646
000031.png,car,330.39676,181.52797,491.091,289.56378,-1.35,12.2,clone,235,1.663584,387,1.3188264
000031.png,car,787.2207,178.33852,1018.97107,335.61658,-1.93,8.46,clone,197,1.1585017,991,0.8862799
000031.png,car,702.4156,181.78992,827.2419,275.8675,-1.8,13.14,clone,238,1.8640352,826,1.1187887
000031.png,truck,439.9581,138.10008,544.50885,237.28691,1.71,22.27,clone,225,2.6821837,439,1.3502595
000031.png,car,656.7685,181.0483,711.5988,219.28328,-1.64,26.41,clone,218,4.020573,710,2.3970735
000031.png,car,615.285,174.0921,652.7392,200.83755,-1.62,51.9,clone,180,7.2621207,639,6.5272493
000032.png,car,191.36885,191.45805,429.42432,338.05844,1.96,9.0,clone,312,1.2062174,287,0.910026
000032.png,car,777.7971,189.97577,1008.99286,335.4954,-1.91,8.6,clone,224,1.1056131,987,0.87306195
000032.png,car,718.6979,181.89642,833.8301,271.5879,-1.79,13.47,clone,270,1.528507,832,1.0263292
000032.png,car,709.3473,171.72789,772.49786,240.96622,-1.58,19.85,clone,210,2.2045124,759,1.4573311
000032.png,car,724.94006,163.78624,793.2312,191.56093,-1.35,25.25,clone,190,3.3597634,766,1.5044688
000032.png,car,493.83267,173.01067,531.49255,198.96742,-1.45,44.75,clone,192,6.0388503,513,5.4569454
000033.png,car,0.39807227,195.67618,222.19559,316.8401,2.17,10.15,clone,287,1.3626107,2,1.0495563
000034.png,car,40.376038,197.7917,322.69363,283.0384,0.5,14.12,clone,282,1.8468055,321,1.4883844
000034.png,car,479.5125,178.93657,535.45435,200.38904,-2.99,49.04,clone,199,5.9546213,480,4.0298524
000035.png,car,584.3381,171.68782,613.67096,194.58557,-1.58,46.7,clone,181,6.4647593,593,6.0475116
000035.png,car,423.39865,172.55115,531.6049,254.8805,-1.4,16.31,clone,207,2.390675,473,1.8425897
000035.png,car,236.59764,184.04887,319.14694,227.69708,1.95,27.71,clone,226,4.0041513,256,1.8761774
000035.png,person,415.98706,180.47978,427.48798,206.70818,0.21,23.11,clone,205,3.371021,426,2.0180244
000036.png,car,549.9372,183.081,692.13306,312.75735,-1.58,10.13,clone,220,1.6557277,681,1.0169182
000036.png,car,339.68033,193.57521,394.96472,218.18805,1.89,46.01,clone,217,6.4637146,393,5.7676187
000036.png,car,285.13507,196.79488,336.94702,221.6971,2.03,44.69,clone,213,6.623762,291,5.850613
000036.png,car,393.5995,187.62535,451.27286,212.04922,1.82,50.4,clone,201,7.3564377,441,6.6953936
000036.png,car,957.3937,184.98912,1105.2513,224.22362,2.67,26.68,clone,190,3.7701285,968,1.7642502
000036.png,car,1147.2502,181.51527,1241.7665,223.81412,2.53,26.55,clone,221,3.9568472,1239,3.1733766
000036.png,car,1130.9457,232.18303,1241.6086,372.54718,-2.06,4.08,clone,371,1.044177,1240,0.4827382
000037.png,car,555.4032,173.1579,631.79956,241.30017,-1.57,19.43,clone,210,3.0097494,627,2.1356735
000037.png,car,504.4818,176.55342,539.0592,223.67422,-1.46,24.49,clone,222,3.4976928,504,2.4177947
000038.png,car,587.60724,172.05588,636.2374,216.0911,-1.59,28.28,clone,183,4.3883195,628,3.5100298
000038.png,car,900.5691,160.5215,1238.6339,368.37683,-1.27,6.69,clone,283,0.9686221,1077,0.6998603
000038.png,car,820.3239,178.51881,936.83984,285.12384,-1.13,10.4,clone,245,1.2646143,935,0.7863584
000038.png,car,758.758,175.0516,893.6351,259.4717,-1.01,14.02,clone,225,1.7227244,892,1.2355736
000038.png,car,489.84128,180.65794,517.26434,200.62656,1.73,50.9,clone,183,6.308818,514,3.3511627
000038.png,car,300.71136,189.50984,406.9231,248.9155,1.9,18.66,clone,221,2.6203642,303,1.976949
000038.png,car,682.26324,173.38625,775.4062,222.05684,-0.87,24.75,clone,220,3.4574127,774,1.7473
000038.png,car,658.2245,173.97325,699.3143,206.05394,-0.92,46.13,clone,205,4.482035,698,3.2964106
000038.png,car,431.6316,178.9961,465.7894,201.3038,1.8,52.04,clone,193,6.566063,437,6.121317
000038.png,car,408.8806,179.14725,433.69757,196.80945,1.81,59.96,clone,195,7.734675,432,6.2555223
000039.png,car,100.51861,197.14925,467.94946,371.80737,1.9,7.17,clone,370,0.9382897,249,0.61576277
000039.png,car,678.9627,185.71352,779.4373,250.854,-1.72,16.67,clone,224,2.301921,759,1.9680849
000039.png,car,527.1325,177.29538,576.87036,210.11923,1.64,33.82,clone,184,5.054277,540,4.2655106
000039.png,car,647.8133,179.25769,695.5857,216.0155,1.46,29.48,clone,215,4.1463766,694,2.2028568
000039.png,car,565.28204,176.62149,587.307,199.4609,1.58,48.95,clone,198,6.1937413,570,4.326973
000039.png,car,638.02155,175.54762,662.2191,199.2288,-1.62,49.29,clone,195,6.1492233,661,3.855006
000040.png,car,474.95154,181.3372,518.3029,211.63977,1.68,35.37,clone,202,4.6413655,486,4.2985053
000040.png,person,689.754,165.71939,702.2756,199.15753,1.13,42.82,clone,177,5.61748,695,4.6922946
000041.png,car,450.95102,174.24109,523.1558,198.80867,-2.96,41.75,clone,174,5.7500052,451,4.503318
000042.png,car,573.52423,175.90765,603.29407,201.47531,-1.57,44.49,clone,189,6.0606346,596,5.708079
000043.png,person,470.3872,176.69177,500.31662,268.07648,-1.73,12.56,clone,267,1.8812369,470,1.5857795
000043.png,person,439.2114,171.20088,473.147,266.61188,-1.59,12.34,clone,209,1.7347407,446,1.570534
000043.png,person,685.12335,165.6573,705.525,227.18846,1.19,20.51,clone,190,2.9020677,703,2.4977582
000043.png,person,712.5619,162.57968,738.8785,228.42609,1.09,20.3,clone,223,2.890013,718,1.85726
000044.png,car,0.913499,209.00407,346.07358,371.30835,2.11,5.22,clone,370,0.78809905,25,0.46925202
000044.png,car,382.3759,185.12337,502.9867,271.0617,1.79,13.93,clone,259,2.1516802,428,1.564288
000045.png,car,72.54315,191.49126,267.26297,274.1717,2.12,15.21,clone,244,2.1453798,97,1.6663532
000045.png,train,695.2723,150.1764,735.2608,186.23224,-1.65,79.53,clone,150,9.019841,730,8.043343
000045.png,car,363.05356,186.7717,418.25684,225.38803,1.98,21.96,clone,216,3.5171657,363,3.0480132
000045.png,car,398.1446,178.18271,460.03918,217.66841,1.87,31.88,clone,199,4.438819,398,3.481012
000045.png,car,456.096,179.6297,496.6407,204.02824,1.8,41.53,clone,202,6.014334,456,4.9209037
000045.png,car,491.619,179.17918,516.15515,202.16696,1.79,46.7,clone,196,6.448632,491,5.522739
000046.png,car,579.4523,174.8612,630.964,215.47026,-1.56,26.76,clone,180,3.7520633,593,3.1641622
000046.png,car,605.6014,173.92264,636.1504,197.60945,-1.58,35.33,clone,195,4.2788177,607,3.1821206
000046.png,car,770.3577,158.66434,1074.139,355.60858,-1.89,7.64,clone,250,0.98724455,968,0.7622728
000046.png,car,708.19037,175.02776,801.1277,248.70517,-1.77,15.65,clone,238,2.1173267,800,1.0934306
000046.png,car,654.64655,172.76959,699.76764,206.29457,-1.68,38.2,clone,183,4.567317,696,4.116538
000047.png,car,572.47736,176.4898,626.8555,218.35117,-1.57,26.54,clone,206,4.0149364,583,3.5662212
000047.png,car,-0.093256876,189.7712,166.52692,305.8651,-0.92,10.68,clone,261,1.5840228,0,1.1256138
000047.png,car,216.63603,166.99445,396.69333,289.5138,-1.22,12.25,clone,167,1.6959586,329,1.2114694
000047.png,car,356.63745,171.43979,424.24203,260.6564,-1.24,23.68,clone,213,2.5698807,356,1.398555
000047.png,car,429.51163,182.40138,494.6119,224.98491,-1.38,25.13,clone,214,3.35187,444,3.1114025
000047.png,car,530.5567,174.03789,549.38525,198.83577,-1.49,47.7,clone,181,6.2149296,530,4.891781
000047.png,car,189.746,180.20018,240.89697,226.5347,-1.12,25.9,clone,217,2.884618,238,1.3227307
000048.png,person,655.03204,162.63124,679.08514,235.95204,-1.58,16.82,clone,213,3.3714867,664,2.2515402
000048.png,person,678.4718,162.88953,707.88086,236.84888,-1.66,17.03,clone,197,2.9131851,703,2.0966523
000048.png,person,446.96304,168.79198,476.66122,238.15482,-1.42,16.26,clone,10,2.8333101,295,2.2129934
000049.png,car,587.43024,173.79706,657.73584,228.40442,-1.57,21.55,clone,184,3.6175714,646,2.5234487
000049.png,car,300.78918,175.96304,486.08118,262.4072,-2.24,13.75,clone,195,1.897481,420,1.5864085
000049.png,car,473.32462,171.97943,534.0771,213.20496,-2.14,21.82,clone,210,3.2041907,473,1.7734697
000049.png,person,981.2636,196.12862,1107.1388,372.63287,-2.06,4.71,clone,233,0.84451306,1085,0.5465463
000049.png,car,750.1239,182.3707,874.1334,261.16962,-1.83,14.89,clone,233,1.8575106,873,1.2351468
000049.png,car,718.9441,170.63734,807.9423,233.29228,-1.78,20.2,clone,212,2.592262,805,1.6929929
000049.png,person,690.36926,173.19586,705.6523,206.21892,-1.88,32.55,clone,173,4.531595,701,3.9445608
000049.png,car,7.4993935,180.07927,231.91858,280.2679,2.26,12.04,clone,259,1.2516445,7,0.45547366
000049.png,car,223.53632,175.51794,333.6686,244.32448,2.19,17.23,clone,199,2.2490335,223,1.5415784
000049.png,car,313.16367,172.7744,366.36194,199.08089,1.9,21.69,clone,194,2.5323207,348,1.7304835
000049.png,car,0.02970875,175.15681,94.15863,219.03453,2.23,17.43,clone,218,1.7782792,3,0.67232823
000050.png,car,680.5265,174.20996,801.9682,255.57779,-1.75,14.75,clone,199,2.0755568,791,1.6308248
000050.png,car,262.65292,184.14255,473.83612,306.70782,-1.31,9.79,clone,224,1.2589086,285,0.9789565
000050.png,car,928.4073,218.18613,1241.649,370.26282,-2.37,2.39,clone,367,0.6425098,1229,0.3243949
000050.png,car,638.23114,167.94492,681.4171,203.6289,-1.58,31.72,clone,192,4.7720723,680,3.7501798
000051.png,car,708.6033,174.55576,748.9023,205.65355,-1.59,39.76,clone,204,4.694036,747,3.8961275
000052.png,car,708.05963,184.20616,803.48486,231.77867,1.34,19.62,clone,7,2.2893596,867,2.1326725
000052.png,car,631.6159,180.0361,696.93225,221.02133,1.58,21.12,clone,220,2.729759,631,1.526473
000052.png,car,320.60922,180.16231,410.00757,213.12097,-2.9,32.97,clone,209,3.4022365,350,1.8803555
000052.png,car,48.368477,190.1545,88.16034,211.13629,-1.61,54.19,clone,202,6.535148,75,6.01288
000052.png,car,386.3059,174.30507,636.63477,298.53815,-2.17,12.06,clone,235,1.5467242,550,1.189513
000052.png,car,247.23921,198.97829,378.48895,260.99884,-1.96,17.46,clone,224,2.281617,371,1.7195599
000053.png,car,179.8275,182.33395,428.737,341.20084,1.86,8.15,clone,313,1.1170175,207,0.8164871
000053.png,car,706.072,188.07532,828.39825,270.45535,-1.79,14.21,clone,229,1.9861829,824,1.649237
000053.png,car,447.10965,182.02322,520.9006,230.16476,1.7,20.88,clone,205,2.7833097,450,2.4293222
000053.png,car,503.17712,173.57344,550.7489,214.79422,1.64,28.91,clone,208,3.6505163,503,2.5369742
000053.png,car,648.7389,179.40158,707.0259,217.09135,1.46,29.57,clone,216,4.5219154,706,3.3109107
000053.png,car,541.0919,175.59195,563.65485,204.82307,1.64,38.08,clone,200,4.6602426,541,3.7098446
000054.png,person,777.43274,154.26308,842.1133,314.63052,2.83,7.8,clone,230,1.2419606,805,0.949985
000055.png,truck,574.3845,125.64714,643.4686,211.65944,-1.56,34.15,clone,137,3.6381795,600,3.236599
000055.png,car,29.285458,190.69902,122.12039,228.99994,2.24,32.12,clone,227,4.2545238,36,3.2164416
000055.png,car,113.5797,185.91612,194.87445,219.56769,2.14,36.62,clone,218,5.0686526,136,4.1311193
000055.png,car,180.65515,184.3037,255.09232,215.05977,2.08,42.56,clone,203,5.698589,180,4.6194606
000055.png,car,233.74188,186.63336,287.88907,210.1371,2.04,47.64,clone,205,6.1113605,237,5.0382247
000056.png,car,544.11475,181.57321,568.8884,203.58882,1.67,48.54,clone,200,6.4625936,546,5.942156
000057.png,car,0.10161401,257.5681,152.7923,372.27036,2.55,1.74,clone,371,0.68067616,21,0.36319244
000057.png,car,509.6963,196.29527,562.27325,232.243,1.67,30.55,clone,226,4.214649,527,3.7109883
000057.png,car,569.0038,178.21565,594.2869,198.44638,1.59,76.01,clone,197,9.510242,593,8.69384
000058.png,person,403.19794,170.2483,499.50632,324.72482,-2.94,7.29,clone,323,1.2371209,414,0.89026225
000059.png,car,553.68304,178.78555,598.9476,213.7833,-1.56,30.01,clone,199,4.3164062,590,3.7823634
000059.png,car,509.63202,178.84773,543.199,204.69135,-1.48,41.7,clone,195,5.5977325,532,5.203787
000059.png,car,969.5486,194.75314,1098.2352,243.90385,2.4,21.41,clone,242,3.0706487,969,2.5546036
000059.png,car,1126.6306,194.16074,1241.5061,247.54398,2.08,23.51,clone,199,3.0975754,1218,2.0296917
000060.png,car,546.3556,173.97449,611.45496,236.51068,-1.55,21.02,clone,186,3.0042415,603,2.4024377
000060.png,car,304.88412,175.30626,350.062,196.1829,1.95,59.83,clone,188,6.903925,348,5.8715763
000061.png,car,-0.041028243,221.9699,40.05431,321.80966,1.66,10.93,clone,276,1.3035284,2,1.1703689
000061.png,car,70.86075,217.424,118.493065,248.63602,1.58,33.21,clone,247,3.759899,70,1.8064793
000061.png,car,18.924253,222.45944,90.44257,289.65366,1.67,16.63,clone,288,1.7328709,18,1.2012372
000062.png,car,417.0914,176.86343,520.3664,248.06123,1.86,19.65,clone,233,2.653227,441,2.307174
000062.png,car,515.97644,185.78676,572.6162,225.56244,1.82,27.12,clone,215,3.7982345,515,2.8300767
000062.png,car,603.36707,184.06921,638.3831,209.18546,1.71,43.31,clone,202,6.208567,611,5.5432625
000062.png,car,677.905,179.89253,706.5954,198.5965,1.81,66.05,clone,197,7.38749,705,3.366345
000063.png,car,879.93555,186.85982,978.57074,248.68373,-1.75,18.74,clone,213,2.6162684,917,2.1555028
000063.png,car,340.08582,170.01157,509.78235,270.6886,-2.55,11.32,clone,246,1.3066411,343,0.88092446
000063.png,person,412.91873,180.00673,447.8693,214.57571,-1.94,10.12,clone,213,1.3507363,412,1.1996034
000063.png,car,839.4796,169.01984,891.2987,215.12604,-1.65,34.75,clone,212,4.6890965,890,2.4417367
000064.png,car,654.6793,176.0239,710.22235,215.5133,-1.7,26.82,clone,200,4.474317,681,3.4469788
000064.png,car,734.8885,180.97185,875.48425,269.81885,-1.85,13.46,clone,183,1.8397961,795,1.4817787
000064.png,car,713.7162,176.91357,760.0931,204.44662,-1.83,39.17,clone,203,5.7085986,759,1.7744762
000064.png,truck,836.9963,61.00517,1112.745,254.4134,-2.01,16.44,clone,61,1.8747514,987,1.4623423
000065.png,person,596.11255,174.57701,611.0714,218.34148,2.67,25.06,clone,217,3.78214,607,3.2244928
000065.png,train,418.7423,144.12059,714.27246,201.31828,-0.39,39.56,clone,199,4.075621,428,1.2164383
000065.png,person,1031.5096,223.92459,1117.5028,310.64188,-2.7,5.52,clone,298,0.91810155,1086,0.7068704
000065.png,person,814.51337,206.43709,862.46234,239.94316,-2.62,10.59,clone,209,1.4817474,814,1.3113691
000065.png,person,739.8429,206.86604,783.83136,252.48569,1.08,11.69,clone,251,1.5138674,782,1.2680398
000066.png,car,667.9263,176.28693,709.6283,204.50543,-1.53,31.58,clone,183,4.2358384,705,3.661065
000066.png,car,592.2199,171.35458,632.56476,199.42079,1.75,40.99,clone,188,5.1322274,601,4.656743
000067.png,car,670.4664,172.02144,706.0626,196.84592,-1.45,47.66,clone,189,6.0828457,705,5.280322
000067.png,truck,1.8103784,84.0304,440.66995,254.46487,2.2,23.13,clone,239,2.2415953,151,1.1749666
000067.png,car,702.6256,172.8673,741.50446,199.4688,-1.45,38.29,clone,189,5.330291,716,4.990603
000067.png,car,429.444,183.89873,598.0154,279.27728,-1.13,12.32,clone,187,1.7883037,499,1.3398292
000067.png,car,79.65765,188.888,385.4701,298.67245,-0.79,11.21,clone,239,1.4813755,151,1.1749666
000067.png,car,536.25287,174.89908,565.34485,187.8907,1.84,43.4,clone,186,5.70195,538,1.6589917
000068.png,car,103.24896,201.81622,432.29306,371.80722,1.94,6.98,clone,370,0.9700748,233,0.6338896
000068.png,car,0.27624834,216.2607,187.83293,371.28232,2.26,6.22,clone,370,0.8632945,145,0.63511753
000068.png,car,515.2543,188.42737,549.3386,243.03223,1.68,20.96,clone,229,2.5089421,515,1.8765448
000068.png,car,534.4044,187.78073,569.2305,224.99554,1.66,31.5,clone,223,3.4394498,534,2.4680514
000068.png,car,667.79266,181.74895,769.0375,230.5524,-0.16,25.95,clone,228,3.013759,743,1.306592
000068.png,car,635.99286,181.11966,688.2837,211.81664,-0.01,39.79,clone,210,4.7917295,687,2.8001518
000068.png,car,386.74026,173.2511,524.26654,279.81918,1.77,14.05,clone,278,1.6773577,386,0.891422
000068.png,bicycle,910.2828,209.73486,1023.85785,297.15976,1.09,14.95,clone,296,1.2449652,932,0.8183521
000069.png,car,126.16332,187.61902,352.09314,253.73994,-2.73,16.53,clone,252,2.4997606,156,2.0520487
000069.png,car,498.33832,180.75172,518.6548,193.63826,0.21,62.51,clone,180,7.4518814,514,5.9381433
000070.png,person,554.6061,148.37355,614.8138,338.79297,2.98,6.89,clone,239,1.1917711,573,0.81745315
000071.png,car,592.67676,175.94215,662.2775,239.2737,-1.57,19.58,clone,212,2.8468168,660,2.2288132
000071.png,train,697.3571,150.77106,740.6113,185.352,1.54,83.1,clone,184,8.171443,739,6.7755704
000072.png,car,0.1845172,180.31158,102.33001,224.29436,2.26,25.33,clone,180,3.286694,92,2.5822825
000072.png,car,286.90573,186.36426,461.16534,283.12415,1.85,12.67,clone,188,2.067005,409,1.3123062
000072.png,car,585.82294,175.33144,629.18494,210.21066,-1.57,32.6,clone,209,4.815328,628,4.242239
000073.png,person,232.58759,173.2866,300.79028,362.59915,-2.62,6.32,clone,256,0.8748363,251,0.766456
000073.png,person,188.1695,160.69334,244.4254,348.6711,0.8,6.54,clone,166,0.87013257,217,0.7705894
000073.png,person,744.7047,167.36314,788.37396,288.17038,0.45,10.51,clone,222,1.8908767,784,1.3077699
000073.png,person,541.2349,174.11201,556.572,214.65477,-2.07,29.83,clone,189,3.9701526,545,3.825816
000073.png,person,533.6052,174.81696,548.23724,214.69014,-2.02,29.55,clone,189,4.246866,539,3.8209956
000074.png,person,682.32104,135.96738,775.32153,363.04004,1.21,6.19,clone,362,1.3371216,769,0.7329017
000074.png,person,780.9088,161.1272,854.47375,353.2877,1.07,6.18,clone,164,1.0550418,824,0.59215474
000074.png,person,931.7705,160.90367,1003.4392,310.54868,0.72,7.84,clone,164,1.2358017,969,0.89339966
000075.png,car,0.015559964,190.67918,120.34144,371.61917,2.59,1.36,clone,327,0.6559749,0,0.38004345
000075.png,car,455.44373,183.15323,574.1011,256.75766,1.86,16.67,clone,231,2.2589717,508,1.9421301
000075.png,car,558.26636,182.59444,622.752,233.09657,1.9,22.81,clone,215,2.9997663,558,2.2203343
000075.png,car,612.40906,181.55524,671.904,222.07625,1.83,28.33,clone,202,3.952064,612,3.1233406
000075.png,car,781.5476,171.61644,837.4113,201.09111,-1.29,53.73,clone,200,4.128614,813,2.1921384
000076.png,person,139.79642,191.37866,264.5911,371.90457,2.39,4.83,clone,266,0.83909273,175,0.57741416
000076.png,person,956.194,165.12338,1011.69196,280.31387,-1.35,9.12,clone,184,1.310403,995,1.1946778
000076.png,person,227.1707,178.41312,280.13306,332.36108,0.66,7.41,clone,282,0.9462246,227,0.6294026
000076.png,person,747.65546,165.25375,761.3849,198.60457,-1.9,13.53,clone,197,3.7846808,760,3.502932
000076.png,person,577.8649,162.03606,604.36957,232.7699,-1.53,17.75,clone,189,2.8017187,592,2.1589708
