filename,class,xmin,ymin,xmax,ymax,angle,zloc,weather,depth_x,depth_y,depth_mean,depth_min,depth_median,depth_max,depth_mean_trim
000028.png,person,150.56775,157.64743,198.30457,306.13324,-2.45,8.51,clone,176,204,1.0010912,0.86193174,0.9616325,1.3991354,0.9643946
000029.png,car,651.76746,170.18774,686.1859,202.90144,-1.71,41.53,clone,660,185,6.433923,5.1106024,5.7121215,9.323732,6.119145
000030.png,car,559.2038,179.95497,587.75586,204.62392,1.58,41.9,clone,560,195,5.076852,4.863372,5.0325727,5.8751903,5.040618
000031.png,car,330.39676,181.52797,491.091,289.56378,-1.35,12.2,clone,387,235,1.6636252,1.3188177,1.4473934,4.9232993,1.4696138
000031.png,car,787.2207,178.33852,1018.97107,335.61658,-1.93,8.46,clone,991,197,1.1585366,0.8861542,1.010211,3.10329,1.0234225
000031.png,car,702.4156,181.78992,827.2419,275.8675,-1.8,13.14,clone,826,238,2.0445416,1.5266315,1.6482813,5.667773,1.6607331
000031.png,truck,439.9581,138.10008,544.50885,237.28691,1.71,22.27,clone,439,225,2.9870937,2.3871005,2.5719006,8.920313,2.5636363
000031.png,car,656.7685,181.0483,711.5988,219.28328,-1.64,26.41,clone,710,218,4.042871,3.195267,3.3745797,8.971581,3.4633555
000031.png,car,615.285,174.0921,652.7392,200.83755,-1.62,51.9,clone,639,180,7.262242,6.527052,6.953418,9.317056,7.0745044
000032.png,car,191.36885,191.45805,429.42432,338.05844,1.96,9.0,clone,287,312,1.2062554,0.91008127,1.0887394,2.5614083,1.1028175
000032.png,car,777.7971,189.97577,1008.99286,335.4954,-1.91,8.6,clone,987,224,1.1056383,0.8729741,1.0006442,2.7884817,1.0114657
000032.png,car,718.6979,181.89642,833.8301,271.5879,-1.79,13.47,clone,832,270,1.7258643,1.4441984,1.512459,4.2730975,1.5028867
000032.png,car,724.94006,163.78624,793.2312,191.56093,-1.35,25.25,clone,766,190,5.0070004,2.307892,2.5835423,8.348073,2.821638
000032.png,car,493.83267,173.01067,531.49255,198.96742,-1.45,44.75,clone,513,192,6.039061,5.4573,5.8839903,6.980826,5.9692993
000033.png,car,0.39807227,195.67618,222.19559,316.8401,2.17,10.15,clone,2,287,1.3626388,1.0496001,1.258092,5.447789,1.2585256
000034.png,car,40.376038,197.7917,322.69363,283.0384,0.5,14.12,clone,321,282,1.8468347,1.4884216,1.6718442,3.8910239,1.6881303
000034.png,car,479.5125,178.93657,535.45435,200.38904,-2.99,49.04,clone,480,199,5.9547596,4.0300684,5.711071,7.962464,5.8218393
000035.png,car,584.3381,171.68782,613.67096,194.58557,-1.58,46.7,clone,593,181,6.4650636,6.0477567,6.259178,8.910601,6.3086443
000035.png,car,423.39865,172.55115,531.6049,254.8805,-1.4,16.31,clone,473,207,2.390703,1.8426107,1.9462852,8.921409,1.9558933
000035.png,car,236.59764,184.04887,319.14694,227.69708,1.95,27.71,clone,256,226,4.00425,1.8760818,3.7124214,8.285827,3.7347646
000035.png,person,415.98706,180.47978,427.48798,206.70818,0.21,23.11,clone,426,205,3.681296,2.3825538,3.4997299,4.3090224,3.4804132
000036.png,car,549.9372,183.081,692.13306,312.75735,-1.58,10.13,clone,681,220,1.6557776,1.0169386,1.1323532,9.725094,1.1429286
000036.png,car,339.68033,193.57521,394.96472,218.18805,1.89,46.01,clone,393,217,6.463882,5.7673144,6.2620864,8.244965,6.2984166
000036.png,car,285.13507,196.79488,336.94702,221.6971,2.03,44.69,clone,291,213,6.6237054,5.8506255,6.3965526,8.284471,6.450773
000036.png,car,393.5995,187.62535,451.27286,212.04922,1.82,50.4,clone,441,201,7.3580537,6.695628,7.217601,8.933976,7.2543826
000036.png,car,957.3937,184.98912,1105.2513,224.22362,2.67,26.68,clone,968,190,3.7700822,1.7641996,3.3792677,7.929079,3.4225378
000036.png,car,1147.2502,181.51527,1241.7665,223.81412,2.53,26.55,clone,1239,221,3.9569676,3.1733308,3.5469604,7.415635,3.5815165
000036.png,car,1130.9457,232.18303,1241.6086,372.54718,-2.06,4.08,clone,1240,371,1.0442145,0.48276722,0.67895687,3.0722647,0.79576916
000037.png,car,555.4032,173.1579,631.79956,241.30017,-1.57,19.43,clone,627,210,3.0098183,2.1355727,2.395126,8.794894,2.4092426
000037.png,car,504.4818,176.55342,539.0592,223.67422,-1.46,24.49,clone,504,222,3.497838,2.4178865,3.3591218,5.8721976,3.4166481
000038.png,car,587.60724,172.05588,636.2374,216.0911,-1.59,28.28,clone,628,183,4.3881598,3.5094826,3.7465768,9.703202,3.7665641
000038.png,car,900.5691,160.5215,1238.6339,368.37683,-1.27,6.69,clone,1078,282,0.9686487,0.69985664,0.79242206,4.328891,0.7950549
000038.png,car,820.3239,178.51881,936.83984,285.12384,-1.13,10.4,clone,935,245,1.3745137,1.1520609,1.286515,3.6614122,1.2851907
000038.png,car,758.758,175.0516,893.6351,259.4717,-1.01,14.02,clone,892,225,2.0803132,1.6224657,1.6948922,6.8287406,1.5932373
000038.png,car,489.84128,180.65794,517.26434,200.62656,1.73,50.9,clone,514,183,6.3088884,3.3515232,6.737336,8.612586,6.677955
000038.png,car,300.71136,189.50984,406.9231,248.9155,1.9,18.66,clone,303,221,2.620402,1.9770881,2.2326198,8.06057,2.2454112
000038.png,car,682.26324,173.38625,775.4062,222.05684,-0.87,24.75,clone,774,220,3.5850675,2.2255943,3.3786745,7.984252,3.3865767
000038.png,car,658.2245,173.97325,699.3143,206.05394,-0.92,46.13,clone,698,205,4.867125,3.8787901,4.279793,7.648358,4.298424
000038.png,car,431.6316,178.9961,465.7894,201.3038,1.8,52.04,clone,437,193,6.5665226,6.121711,6.400064,7.7563915,6.450883
000038.png,car,408.8806,179.14725,433.69757,196.80945,1.81,59.96,clone,432,195,7.8350883,6.4727716,7.729109,9.086392,7.7484436
000039.png,car,100.51861,197.14925,467.94946,371.80737,1.9,7.17,clone,249,370,0.9383201,0.6157648,0.8647879,3.6488109,0.86329764
000039.png,car,678.9627,185.71352,779.4373,250.854,-1.72,16.67,clone,759,224,2.301959,1.9681451,2.076809,6.2567196,2.0954726
000039.png,car,527.1325,177.29538,576.87036,210.11923,1.64,33.82,clone,540,184,5.054324,4.2653384,4.5347805,8.377689,4.670288
000039.png,car,647.8133,179.25769,695.5857,216.0155,1.46,29.48,clone,694,215,4.429705,3.5807812,3.9144354,7.312799,3.9531643
000039.png,car,565.28204,176.62149,587.307,199.4609,1.58,48.95,clone,570,198,6.9472065,6.120177,6.4578247,8.892249,6.1849236
000039.png,car,638.02155,175.54762,662.2191,199.2288,-1.62,49.29,clone,661,195,7.4353485,6.308177,6.568325,9.181978,6.1946335
000040.png,car,474.95154,181.3372,518.3029,211.63977,1.68,35.37,clone,486,202,4.64149,4.298517,4.5058784,7.230724,4.537884
000040.png,person,689.754,165.71939,702.2756,199.15753,1.13,42.82,clone,695,177,5.6172028,4.6922216,5.18242,9.245127,5.2589765
000041.png,car,450.95102,174.24109,523.1558,198.80867,-2.96,41.75,clone,451,174,5.7500234,4.5030594,5.390856,8.021117,5.5800962
000042.png,car,573.52423,175.90765,603.29407,201.47531,-1.57,44.49,clone,596,189,6.060883,5.708007,5.883869,9.0051775,5.9075747
000043.png,person,470.3872,176.69177,500.31662,268.07648,-1.73,12.56,clone,470,267,1.8912225,1.5857898,1.690953,8.617023,1.6998008
000043.png,person,439.2114,171.20088,473.147,266.61188,-1.59,12.34,clone,446,209,1.7347729,1.5705894,1.6769135,2.6754277,1.6788865
000043.png,person,685.12335,165.6573,705.525,227.18846,1.19,20.51,clone,703,190,2.9019964,2.4976883,2.8503327,4.295344,2.858195
000043.png,person,712.5619,162.57968,738.8785,228.42609,1.09,20.3,clone,718,223,2.8900294,1.8572224,2.6945343,5.6819186,2.7315667
000044.png,car,0.913499,209.00407,346.07358,371.30835,2.11,5.22,clone,25,370,0.7881316,0.46927792,0.6631471,3.9298801,0.6694601
000044.png,car,382.3759,185.12337,502.9867,271.0617,1.79,13.93,clone,428,259,2.1517797,1.5642892,1.7271106,7.35697,1.7465401
000045.png,car,72.54315,191.49126,267.26297,274.1717,2.12,15.21,clone,97,244,2.14543,1.6664294,1.99903,4.1657567,2.0075524
000045.png,train,695.2723,150.1764,735.2608,186.23224,-1.65,79.53,clone,730,150,9.019817,8.043081,8.999884,9.8452635,8.988955
000045.png,car,363.05356,186.7717,418.25684,225.38803,1.98,21.96,clone,363,216,3.5172143,3.048195,3.4981127,4.945249,3.494842
000045.png,car,398.1446,178.18271,460.03918,217.66841,1.87,31.88,clone,398,199,4.6988335,3.6759355,4.0559254,7.774562,4.141287
000045.png,car,456.096,179.6297,496.6407,204.02824,1.8,41.53,clone,456,202,5.972496,5.223145,5.6682987,8.526196,5.7385535
000045.png,car,491.619,179.17918,516.15515,202.16696,1.79,46.7,clone,491,196,6.530154,5.632876,6.225956,8.990297,6.240792
000046.png,car,579.4523,174.8612,630.964,215.47026,-1.56,26.76,clone,593,180,3.7521374,3.164078,3.2885504,9.112645,3.3151743
000046.png,car,770.3577,158.66434,1074.139,355.60858,-1.89,7.64,clone,968,251,0.9872596,0.7622598,0.84873044,4.242981,0.8666653
000046.png,car,708.19037,175.02776,801.1277,248.70517,-1.77,15.65,clone,800,238,2.3380308,1.780186,1.9475834,5.809934,1.9615307
000046.png,car,654.64655,172.76959,699.76764,206.29457,-1.68,38.2,clone,696,183,4.56726,4.116425,4.379324,7.597625,4.415282
000047.png,car,572.47736,176.4898,626.8555,218.35117,-1.57,26.54,clone,583,206,4.0151515,3.5664332,3.7493618,9.734281,3.7556515
000047.png,car,-0.093256876,189.7712,166.52692,305.8651,-0.92,10.68,clone,0,261,1.5840688,1.1255879,1.3599098,6.441608,1.3680468
000047.png,car,216.63603,166.99445,396.69333,289.5138,-1.22,12.25,clone,329,167,1.6960034,1.2113326,1.4151095,9.38099,1.4194444
000047.png,car,356.63745,171.43979,424.24203,260.6564,-1.24,23.68,clone,356,213,3.4980493,1.7227972,1.7641032,9.413557,1.7752898
000047.png,car,429.51163,182.40138,494.6119,224.98491,-1.38,25.13,clone,444,214,3.3519623,3.111523,3.253862,4.5585093,3.266148
000047.png,car,530.5567,174.03789,549.38525,198.83577,-1.49,47.7,clone,530,181,6.2148447,4.8918867,6.40821,7.630457,6.2985063
000047.png,car,189.746,180.20018,240.89697,226.5347,-1.12,25.9,clone,238,217,3.327601,2.8290927,3.0856133,5.1951766,2.9996903
000048.png,person,655.03204,162.63124,679.08514,235.95204,-1.58,16.82,clone,664,213,3.3716528,2.2516687,2.4395652,8.069242,2.638095
000048.png,person,678.4718,162.88953,707.88086,236.84888,-1.66,17.03,clone,703,197,2.8933136,2.096687,2.341468,7.358968,2.4080195
000048.png,person,446.96304,168.79198,476.66122,238.15482,-1.42,16.26,clone,463,222,2.8332958,2.2130368,2.4881344,6.352681,2.5124066
000049.png,car,587.43024,173.79706,657.73584,228.40442,-1.57,21.55,clone,646,184,3.6177998,2.5237324,2.7961469,9.315457,2.8514137
000049.png,car,300.78918,175.96304,486.08118,262.4072,-2.24,13.75,clone,420,195,1.8975475,1.5865266,1.7424572,6.250352,1.7527608
000049.png,car,473.32462,171.97943,534.0771,213.20496,-2.14,21.82,clone,473,210,3.339711,2.3248289,3.0946584,8.180463,3.1241632
000049.png,person,981.2636,196.12862,1107.1388,372.63287,-2.06,4.71,clone,1085,233,0.8445625,0.546549,0.66905016,2.5655167,0.6817018
000049.png,car,750.1239,182.3707,874.1334,261.16962,-1.83,14.89,clone,873,233,1.8575746,1.2353002,1.7840877,4.8601832,1.7967162
000049.png,car,718.9441,170.63734,807.9423,233.29228,-1.78,20.2,clone,805,212,3.2198272,2.3002563,2.3766656,9.625735,2.317369
000049.png,person,690.36926,173.19586,705.6523,206.21892,-1.88,32.55,clone,701,173,4.531706,3.9451382,4.288593,9.528651,4.302394
000049.png,car,7.4993935,180.07927,231.91858,280.2679,2.26,12.04,clone,7,259,1.2516809,0.45548004,1.2355931,4.173093,1.2016226
000049.png,car,223.53632,175.51794,333.6686,244.32448,2.19,17.23,clone,223,199,2.3332798,1.7502191,2.2007852,4.635325,2.1993277
000050.png,car,680.5265,174.20996,801.9682,255.57779,-1.75,14.75,clone,791,199,2.0755823,1.6309153,1.784312,7.5560217,1.7985821
000050.png,car,262.65292,184.14255,473.83612,306.70782,-1.31,9.79,clone,285,224,1.2589471,0.979086,1.1271381,3.4310849,1.1330141
000050.png,car,928.4073,218.18613,1241.649,370.26282,-2.37,2.39,clone,1229,367,0.6425485,0.3244131,0.47120637,1.5016762,0.5110549
000050.png,car,638.23114,167.94492,681.4171,203.6289,-1.58,31.72,clone,680,192,4.778045,3.7838728,4.151696,9.280769,4.265222
000051.png,car,708.6033,174.55576,748.9023,205.65355,-1.59,39.76,clone,747,204,4.6941133,3.8959525,4.616973,8.6093645,4.62044
000052.png,car,708.05963,184.20616,803.48486,231.77867,1.34,19.62,clone,767,213,2.2893958,2.1326747,2.2297332,3.034497,2.2430243
000052.png,car,631.6159,180.0361,696.93225,221.02133,1.58,21.12,clone,631,220,2.7121675,2.4809923,2.649017,3.382615,2.667293
000052.png,car,320.60922,180.16231,410.00757,213.12097,-2.9,32.97,clone,350,209,3.7026784,2.7365794,3.2146745,6.2501287,3.2532792
000052.png,car,48.368477,190.1545,88.16034,211.13629,-1.61,54.19,clone,75,202,6.5354156,6.013073,6.360435,8.599359,6.3749423
000052.png,car,386.3059,174.30507,636.63477,298.53815,-2.17,12.06,clone,550,235,1.5467759,1.189556,1.3268102,5.1994395,1.3310001
000052.png,car,247.23921,198.97829,378.48895,260.99884,-1.96,17.46,clone,371,224,2.281721,1.7194663,1.98678,5.6804166,2.0045831
000053.png,car,179.8275,182.33395,428.737,341.20084,1.86,8.15,clone,207,313,1.1170487,0.8164833,0.95885473,3.9714515,0.98276204
000053.png,car,706.072,188.07532,828.39825,270.45535,-1.79,14.21,clone,824,229,1.9862176,1.6494728,1.7641461,6.0783873,1.7748587
000053.png,car,447.10965,182.02322,520.9006,230.16476,1.7,20.88,clone,777,192,2.783377,2.4294956,2.5871296,5.061583,2.6164083
000053.png,car,503.17712,173.57344,550.7489,214.79422,1.64,28.91,clone,503,208,3.9658732,2.9008977,3.7065926,8.277161,3.6497786
000053.png,car,648.7389,179.40158,707.0259,217.09135,1.46,29.57,clone,706,216,4.5209246,3.7874305,4.0871205,8.376215,4.1896315
000053.png,car,541.0919,175.59195,563.65485,204.82307,1.64,38.08,clone,541,200,5.028159,4.360141,4.682193,8.069916,4.6289744
000054.png,person,777.43274,154.26308,842.1133,314.63052,2.83,7.8,clone,805,230,1.2419994,0.9499989,1.0721791,2.3852627,1.1593382
000055.png,truck,574.3845,125.64714,643.4686,211.65944,-1.56,34.15,clone,600,137,3.6381943,3.2366722,3.5431705,7.550779,3.5547254
000055.png,car,29.285458,190.69902,122.12039,228.99994,2.24,32.12,clone,36,227,4.2547197,3.2163568,4.23046,5.251597,4.2292924
000055.png,car,113.5797,185.91612,194.87445,219.56769,2.14,36.62,clone,136,218,5.1354604,4.1313634,4.768878,6.952244,4.86135
000055.png,car,180.65515,184.3037,255.09232,215.05977,2.08,42.56,clone,180,203,5.6862245,4.78034,5.5072923,7.3471446,5.5749574
000055.png,car,233.74188,186.63336,287.88907,210.1371,2.04,47.64,clone,237,205,6.35502,5.342027,5.89975,8.191947,5.9801927
000056.png,car,544.11475,181.57321,568.8884,203.58882,1.67,48.54,clone,546,200,6.463308,5.9426966,6.2721786,9.107175,6.288449
000057.png,car,0.10161401,257.5681,152.7923,372.27036,2.55,1.74,clone,21,371,0.6807342,0.36319074,0.50225484,1.1781708,0.6341507
000057.png,car,509.6963,196.29527,562.27325,232.243,1.67,30.55,clone,527,226,4.214714,3.7110372,3.9330614,9.321634,3.9815245
000057.png,car,569.0038,178.21565,594.2869,198.44638,1.59,76.01,clone,593,197,9.510496,8.6939535,9.604891,9.84275,9.558021
000058.png,person,403.19794,170.2483,499.50632,324.72482,-2.94,7.29,clone,415,323,1.2371689,0.8903202,1.1714208,1.8499472,1.2001191
000059.png,car,553.68304,178.78555,598.9476,213.7833,-1.56,30.01,clone,590,199,4.316324,3.7822757,3.9571788,8.612014,3.9919548
000059.png,car,509.63202,178.84773,543.199,204.69135,-1.48,41.7,clone,532,195,5.5981402,5.20413,5.354757,8.964638,5.3873734
000059.png,car,969.5486,194.75314,1098.2352,243.90385,2.4,21.41,clone,969,242,3.070636,2.5545936,2.825324,6.161342,2.8340087
000059.png,car,1126.6306,194.16074,1241.5061,247.54398,2.08,23.51,clone,1218,199,3.0973916,2.02958,2.878934,6.911331,2.8364935
000060.png,car,546.3556,173.97449,611.45496,236.51068,-1.55,21.02,clone,603,186,3.0042405,2.4023173,2.6319659,7.814684,2.6439714
000060.png,car,304.88412,175.30626,350.062,196.1829,1.95,59.83,clone,348,188,6.9043193,5.871726,6.929042,7.935362,6.91803
000061.png,car,-0.041028243,221.9699,40.05431,321.80966,1.66,10.93,clone,2,276,1.3035152,1.1704011,1.2566379,2.2887676,1.2595376
000061.png,car,70.86075,217.424,118.493065,248.63602,1.58,33.21,clone,70,247,4.5190883,3.145169,3.3418815,8.116329,3.4075222
000061.png,car,18.924253,222.45944,90.44257,289.65366,1.67,16.63,clone,18,288,1.7991273,1.4036268,1.7582252,3.7657242,1.7326746
000062.png,car,417.0914,176.86343,520.3664,248.06123,1.86,19.65,clone,441,233,2.6532614,2.307138,2.5076485,4.6810417,2.5235486
000062.png,car,515.97644,185.78676,572.6162,225.56244,1.82,27.12,clone,515,215,3.8395944,3.2623963,3.6212492,6.2479305,3.6347535
000062.png,car,603.36707,184.06921,638.3831,209.18546,1.71,43.31,clone,611,202,6.208618,5.543248,5.983806,8.247455,6.072757
000062.png,car,677.905,179.89253,706.5954,198.5965,1.81,66.05,clone,705,197,7.387222,3.3663666,9.125509,9.896493,7.903411
000063.png,car,879.93555,186.85982,978.57074,248.68373,-1.75,18.74,clone,917,213,2.6162593,2.15549,2.306359,5.908843,2.3238459
000063.png,person,412.91873,180.00673,447.8693,214.57571,-1.94,10.12,clone,412,213,1.3507755,1.1996858,1.3468173,1.4397607,1.3495067
000063.png,car,839.4796,169.01984,891.2987,215.12604,-1.65,34.75,clone,890,212,4.8059745,4.2141337,4.4232936,9.801791,4.473505
